station,valid,sped
ODO,2021-02-01 00:53,6.90
ODO,2021-02-01 01:53,8.05
ODO,2021-02-01 02:53,8.05
ODO,2021-02-01 03:53,5.75
ODO,2021-02-01 04:53,0.00
ODO,2021-02-01 05:53,3.45
ODO,2021-02-01 06:53,4.60
ODO,2021-02-01 07:53,5.75
ODO,2021-02-01 08:53,5.75
ODO,2021-02-01 09:53,0.00
ODO,2021-02-01 10:53,3.45
ODO,2021-02-01 11:53,3.45
ODO,2021-02-01 12:53,5.75
ODO,2021-02-01 13:53,3.45
ODO,2021-02-01 14:53,0.00
ODO,2021-02-01 15:53,8.05
ODO,2021-02-01 16:53,9.20
ODO,2021-02-01 17:53,10.35
ODO,2021-02-01 18:53,8.05
ODO,2021-02-01 19:53,13.80
ODO,2021-02-01 20:53,6.90
ODO,2021-02-01 21:53,12.65
ODO,2021-02-01 22:53,11.50
ODO,2021-02-01 23:53,8.05
ODO,2021-02-02 00:53,8.05
ODO,2021-02-02 01:53,8.05
ODO,2021-02-02 02:53,8.05
ODO,2021-02-02 03:53,10.35
ODO,2021-02-02 04:53,9.20
ODO,2021-02-02 05:53,9.20
ODO,2021-02-02 06:53,6.90
ODO,2021-02-02 07:53,9.20
ODO,2021-02-02 08:53,13.80
ODO,2021-02-02 09:53,8.05
ODO,2021-02-02 10:53,11.50
ODO,2021-02-02 11:53,8.05
ODO,2021-02-02 12:53,9.20
ODO,2021-02-02 13:53,9.20
ODO,2021-02-02 14:53,12.65
ODO,2021-02-02 15:53,11.50
ODO,2021-02-02 16:53,11.50
ODO,2021-02-02 17:53,10.35
ODO,2021-02-02 18:53,10.35
ODO,2021-02-02 19:53,14.95
ODO,2021-02-02 20:53,11.50
ODO,2021-02-02 21:53,12.65
ODO,2021-02-02 22:53,9.20
ODO,2021-02-02 23:53,5.75
ODO,2021-02-03 00:53,8.05
ODO,2021-02-03 01:53,5.75
ODO,2021-02-03 02:53,4.60
ODO,2021-02-03 03:53,9.20
ODO,2021-02-03 04:53,6.90
ODO,2021-02-03 05:53,8.05
ODO,2021-02-03 06:53,5.75
ODO,2021-02-03 07:53,5.75
ODO,2021-02-03 08:53,4.60
ODO,2021-02-03 09:53,3.45
ODO,2021-02-03 10:53,4.60
ODO,2021-02-03 11:53,3.45
ODO,2021-02-03 12:53,3.45
ODO,2021-02-03 13:53,4.60
ODO,2021-02-03 14:53,4.60
ODO,2021-02-03 15:53,4.60
ODO,2021-02-03 16:53,10.35
ODO,2021-02-03 17:53,8.05
ODO,2021-02-03 18:53,11.50
ODO,2021-02-03 19:53,12.65
ODO,2021-02-03 20:53,16.10
ODO,2021-02-03 21:53,17.25
ODO,2021-02-03 22:53,18.40
ODO,2021-02-03 23:53,13.80
ODO,2021-02-04 00:53,9.20
ODO,2021-02-04 01:53,9.20
ODO,2021-02-04 02:53,13.80
ODO,2021-02-04 03:53,13.80
ODO,2021-02-04 04:53,14.95
ODO,2021-02-04 05:53,11.50
ODO,2021-02-04 06:53,12.65
ODO,2021-02-04 07:53,13.80
ODO,2021-02-04 08:53,12.65
ODO,2021-02-04 09:53,12.65
ODO,2021-02-04 10:53,13.80
ODO,2021-02-04 11:53,11.50
ODO,2021-02-04 12:53,12.65
ODO,2021-02-04 13:53,9.20
ODO,2021-02-04 14:53,5.75
ODO,2021-02-04 15:53,12.65
ODO,2021-02-04 16:38,20.70
ODO,2021-02-04 16:53,26.45
ODO,2021-02-04 17:15,19.55
ODO,2021-02-04 17:53,18.40
ODO,2021-02-04 18:53,14.95
ODO,2021-02-04 19:53,17.25
ODO,2021-02-04 20:53,18.40
ODO,2021-02-04 21:53,14.95
ODO,2021-02-04 22:53,10.35
ODO,2021-02-04 23:53,9.20
ODO,2021-02-05 00:53,9.20
ODO,2021-02-05 01:53,10.35
ODO,2021-02-05 02:53,11.50
ODO,2021-02-05 03:53,11.50
ODO,2021-02-05 04:53,12.65
ODO,2021-02-05 05:53,9.20
ODO,2021-02-05 06:53,9.20
ODO,2021-02-05 07:53,10.35
ODO,2021-02-05 08:53,6.90
ODO,2021-02-05 09:53,5.75
ODO,2021-02-05 10:53,4.60
ODO,2021-02-05 11:53,0.00
ODO,2021-02-05 12:53,3.45
ODO,2021-02-05 13:53,0.00
ODO,2021-02-05 14:53,10.35
ODO,2021-02-05 15:53,9.20
ODO,2021-02-05 16:53,8.05
ODO,2021-02-05 17:53,10.35
ODO,2021-02-05 18:53,8.05
ODO,2021-02-05 19:53,8.05
ODO,2021-02-05 20:53,10.35
ODO,2021-02-05 21:53,10.35
ODO,2021-02-05 22:53,10.35
ODO,2021-02-05 23:53,9.20
ODO,2021-02-06 00:53,3.45
ODO,2021-02-06 01:53,3.45
ODO,2021-02-06 02:53,8.05
ODO,2021-02-06 03:53,4.60
ODO,2021-02-06 04:53,8.05
ODO,2021-02-06 05:53,4.60
ODO,2021-02-06 06:53,5.75
ODO,2021-02-06 07:53,5.75
ODO,2021-02-06 08:53,5.75
ODO,2021-02-06 09:53,9.20
ODO,2021-02-06 10:53,5.75
ODO,2021-02-06 11:53,21.85
ODO,2021-02-06 12:53,23.00
ODO,2021-02-06 13:53,24.15
ODO,2021-02-06 14:53,23.00
ODO,2021-02-06 15:53,19.55
ODO,2021-02-06 16:53,19.55
ODO,2021-02-06 17:53,23.00
ODO,2021-02-06 18:53,13.80
ODO,2021-02-06 19:53,14.95
ODO,2021-02-06 20:53,10.35
ODO,2021-02-06 21:53,10.35
ODO,2021-02-06 22:53,3.45
ODO,2021-02-06 23:53,4.60
ODO,2021-02-07 00:53,6.90
ODO,2021-02-07 01:53,9.20
ODO,2021-02-07 02:53,8.05
ODO,2021-02-07 03:53,8.05
ODO,2021-02-07 04:53,8.05
ODO,2021-02-07 05:53,6.90
ODO,2021-02-07 06:53,8.05
ODO,2021-02-07 07:53,5.75
ODO,2021-02-07 08:53,4.60
ODO,2021-02-07 09:53,13.80
ODO,2021-02-07 10:53,12.65
ODO,2021-02-07 11:53,12.65
ODO,2021-02-07 12:53,11.50
ODO,2021-02-07 13:53,10.35
ODO,2021-02-07 14:53,18.40
ODO,2021-02-07 15:53,20.70
ODO,2021-02-07 16:53,14.95
ODO,2021-02-07 17:53,17.25
ODO,2021-02-07 18:53,23.00
ODO,2021-02-07 19:53,19.55
ODO,2021-02-07 20:53,14.95
