"","wind_speed_LGF","wind_speed_NYL","wind_speed_NOZ","wind_speed_ODO","wind_speed_MAF","wind_speed_MDD"
"1",12.075,10.925,10.35,7.475,9.2,5.75
"2",9.775,6.9,6.9,6.9,7.475,0
"3",4.025,2.3,8.625,1.725,0,0
"4",4.6,6.325,9.2,5.175,0.8625,0
"5",1.725,6.9,6.9,2.875,1.29375,0
"6",0,5.75,10.35,3.45,1.509375,0
"7",5.75,8.625,7.475,4.6,1.725,0
"8",0,6.325,9.775,4.025,2.875,0
"9",6.9,4.025,10.925,9.775,9.775,8.05
"10",10.925,10.925,14.95,10.925,12.075,8.625
"11",8.05,10.35,14.95,9.775,12.65,9.2
"12",10.35,10.925,16.675,9.775,12.075,9.775
"13",4.025,10.35,12.65,8.05,5.75,6.9
"14",8.05,8.05,11.5,9.2,8.05,6.9
"15",5.175,8.625,10.925,9.2,9.2,6.9
"16",3.45,4.6,12.075,8.05,9.775,5.175
"17",3.45,4.6,8.05,10.925,10.0625,4.6
"18",5.75,6.325,5.175,9.775,10.35,3.45
"19",5.75,5.75,10.35,9.2,9.775,8.625
"20",8.05,6.9,13.8,12.075,10.925,12.434375
"21",8.05,6.9,16.1,10.925,12.65,12.075
"22",7.475,6.9,14.95,12.65,13.225,11.5
"23",8.05,8.05,11.5,12.075,12.075,13.8
"24",8.625,2.875,8.625,7.475,10.925,9.775
"25",5.75,0,4.6,6.9,8.05,8.05
"26",2.3,2.3,4.025,6.9,13.8,9.2
"27",1.725,0,7.475,7.475,13.8,10.35
"28",0,6.9,8.625,5.75,9.775,8.05
"29",1.725,1.725,3.45,4.025,7.7625,4.025
"30",0,0,5.75,4.025,5.75,0
"31",1.725,3.45,6.9,4.025,4.6,3.45
"32",3.45,1.725,6.325,4.6,8.05,5.175
"33",5.75,4.025,7.475,9.2,9.2,9.2
"34",6.9,5.175,2.875,12.075,11.5,9.775
"35",10.925,9.2,5.75,16.675,16.1,13.225
"36",11.5,8.05,6.325,16.1,14.375,14.95
"37",9.2,8.625,7.475,9.2,13.5125,10.925
"38",8.625,12.075,9.2,13.8,13.08125,11.5
"39",6.9,6.9,5.175,13.225,12.865625,13.8
"40",6.325,5.75,1.725,13.225,12.7578125,12.65
"41",7.475,2.3,1.725,12.65,12.70390625,10.35
"42",4.6,4.025,2.3,12.65,12.65,14.95
"43",6.9,6.9,8.625,10.925,11.5,9.775
"44",10.925,12.075,13.225,9.2,10.35,8.05
"45",20.7,16.1,15.525,20.125,19.55,16.675
"46",22.425,17.25,16.675,16.1,18.4,12.075
"47",19.55,17.825,19.55,16.675,17.25,12.075
"48",14.95,12.075,17.25,9.775,10.925,10.925
"49",10.35,7.475,12.075,9.775,10.35,10.35
"50",6.9,6.9,9.775,11.5,15.525,8.625
"51",2.875,8.05,9.775,10.925,12.65,9.2
"52",1.725,5.175,9.2,9.775,7.475,5.175
"53",2.3,2.875,8.05,6.325,6.9,4.6
"54",0,1.725,14.375,2.3,2.3,3.45
"55",0,2.3,8.05,1.725,2.3,4.025
"56",0,0,6.9,9.775,8.05,7.475
"57",3.45,8.05,16.1,9.2,8.05,8.625
"58",16.675,13.8,18.4,8.05,6.9,7.475
"59",13.8,12.075,14.375,10.35,11.5,9.2
"60",12.65,9.2,11.5,9.775,9.2,10.35
"61",5.75,5.75,6.325,3.45,3.45,4.6
"62",0,5.75,0,6.325,7.475,5.75
"63",5.175,0,0,6.325,5.75,6.325
"64",1.725,0,0,5.75,5.75,6.325
"65",0,1.725,4.025,7.475,10.925,8.625
"66",0,3.45,3.45,13.8,10.35,8.625
"67",0,0,9.2,23.575,21.85,17.25
"68",6.325,2.875,11.5,21.275,23,19.55
"69",13.225,4.025,13.225,21.275,21.85,18.975
"70",11.5,13.225,16.1,14.375,17.25,17.25
"71",10.925,9.775,12.65,10.35,14.375,14.375
"72",9.775,6.325,9.775,4.025,7.475,8.625
"73",8.05,6.9,7.475,8.05,6.9,3.45
"74",7.475,5.175,8.625,8.05,6.9,4.6
"75",0,0,5.175,7.475,7.475,5.175
"76",2.875,1.725,5.175,6.9,8.05,8.625
"77",4.025,1.725,6.325,9.2,6.9,9.775
"78",0,1.725,6.325,12.65,10.925,11.5
"79",1.725,5.75,4.025,10.925,13.8,14.95
"80",4.025,0,1.725,19.55,14.95,14.375
"81",0,8.05,2.3,16.1,18.975,16.675
"82",0,6.325,5.175,21.275,20.7,17.825
"83",3.45,4.6,7.475,14.95,14.95,14.95
"84",4.6,2.3,6.9,15.525,15.525,12.075
"85",6.325,5.175,5.175,9.2,13.8,13.8
"86",3.45,0,3.45,18.4,14.375,17.25
"87",1.725,3.45,6.9,16.1,11.5,13.8
"88",0,1.725,8.05,13.8,11.5,11.5
"89",1.725,1.725,8.05,9.775,9.775,9.2
"90",5.175,2.3,8.625,6.9,10.35,11.5
"91",5.75,4.025,9.775,8.05,12.075,10.35
"92",9.2,4.6,10.925,4.025,7.475,9.775
"93",8.05,5.75,12.075,7.475,8.05,6.9
"94",8.625,4.6,10.925,4.025,8.625,6.325
"95",2.875,9.775,10.925,10.35,8.625,5.175
"96",5.175,10.925,12.65,12.075,10.925,10.35
"97",8.625,6.325,11.5,5.75,5.175,5.175
